Date,Price,Open,High,Low,Vol.,Change %
11/02/2008,1747.71 ,1713.76 ,1788.26 ,1678.96 ,22.79B,1.09%
10/26/2008,1728.79 ,1809.22 ,1809.22 ,1664.92 ,25.64B,-6.02%
10/19/2008,1839.62 ,1924.18 ,1996.66 ,1825.53 ,24.11B,-4.71%
10/12/2008,1930.65 ,1978.56 ,2146.73 ,1901.50 ,25.48B,-3.50%
10/05/2008,2000.57 ,2267.39 ,2267.39 ,1963.18 ,26.77B,-12.78%
09/21/2008,2293.78 ,2241.72 ,2333.28 ,2116.96 ,48.41B,10.54%
09/14/2008,2075.09 ,2049.81 ,2075.09 ,1802.33 ,21.68B,-0.22%
09/07/2008,2079.67 ,2210.34 ,2220.55 ,2064.29 ,17.42B,-5.57%
08/31/2008,2202.45 ,2380.47 ,2380.47 ,2199.36 ,18.55B,-8.13%
08/24/2008,2397.37 ,2408.09 ,2443.99 ,2310.45 ,19.68B,-0.33%
08/17/2008,2405.23 ,2451.78 ,2523.47 ,2284.59 ,27.36B,-1.85%
08/10/2008,2450.61 ,2595.89 ,2601.50 ,2370.74 ,18.74B,-5.95%
08/03/2008,2605.72 ,2782.99 ,2793.26 ,2595.92 ,20.82B,-7.00%
07/27/2008,2801.82 ,2883.76 ,2924.45 ,2721.95 ,26.36B,-2.21%
07/20/2008,2865.10 ,2759.88 ,2912.70 ,2745.64 ,32.45B,3.12%
07/13/2008,2778.37 ,2837.49 ,2896.33 ,2656.61 ,29.41B,-2.74%
07/06/2008,2856.63 ,2673.55 ,2952.04 ,2673.55 ,41.04B,6.99%
06/29/2008,2669.89 ,2724.40 ,2766.80 ,2566.53 ,24.48B,-2.86%
06/22/2008,2748.43 ,2780.15 ,2931.31 ,2723.16 ,27.99B,-2.94%
06/15/2008,2831.74 ,2876.29 ,2945.42 ,2695.63 ,28.10B,-1.29%
06/08/2008,2868.80 ,3202.11 ,3215.50 ,2865.50 ,18.85B,-13.84%
06/01/2008,3329.67 ,3426.20 ,3483.61 ,3312.72 ,23.05B,-3.02%
05/25/2008,3433.35 ,3442.29 ,3486.33 ,3333.95 ,24.77B,-1.14%
05/18/2008,3473.09 ,3615.59 ,3632.01 ,3355.08 ,31.69B,-4.17%
05/11/2008,3624.23 ,3548.61 ,3706.72 ,3508.32 ,40.80B,0.30%
05/04/2008,3613.49 ,3739.80 ,3786.02 ,3523.03 ,45.22B,-2.16%
04/27/2008,3693.11 ,3497.38 ,3705.09 ,3453.28 ,25.05B,3.80%
04/20/2008,3557.75 ,3305.15 ,3658.55 ,2990.79 ,44.67B,14.96%
04/13/2008,3094.67 ,3419.05 ,3427.88 ,3078.17 ,22.46B,-11.40%
04/06/2008,3492.89 ,3418.52 ,3656.96 ,3344.87 ,27.51B,1.35%
03/30/2008,3446.24 ,3465.91 ,3555.82 ,3271.29 ,21.83B,-3.74%
03/23/2008,3580.15 ,3830.35 ,3840.48 ,3357.23 ,27.63B,-5.70%
03/16/2008,3796.58 ,3941.26 ,3941.26 ,3516.33 ,30.69B,-4.19%
03/09/2008,3962.67 ,4265.61 ,4272.98 ,3891.70 ,27.93B,-7.86%
